Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Utilities - Independent Power Producers,Utilities,162.42,99,99,99,98,"VST,TLN,PAM,TAC,NRG,KEN"
2,Computer Hardware,Technology,134.5,99,99,59,21,"RCAT,QBTS,IONQ,BTCT,CAN,ANET,OSS,YIBO,SCKT,PSTG,NTAP,AGMH,LOGI,CRCT,SSYS,DELL,HPQ,STX,WDC,NNDM,TACT,CRSR,KTCC,DDD,EBON,ALOT,MKFG,SMCI,UAVS,DM"
3,Travel Services,Consumer Cyclical,127.48,98,90,81,46,"ISPOW,NTRP,ISPO,DESP,RCL,MMYT,VIK,CCL,TCOM,VCSA,EXPE,NCLH,LIND,BKNG,TNL,TOUR,ABNB,TRIP,YTRA"
4,Communication Equipment,Technology,126.75,97,97,96,87,"ASTS,SATX,INSG,MOB,UI,COMM,ONDS,AAOI,AMPG,BKTI,OCC,ADTN,CRNT,FEIM,BOXL,LITE,NTGR,TSAT,CIEN,MITQ,FKWL,SYNX,BOSC,SATS,ZBRA,ERIC,GILT,HPE,BDC,EXTR,KVHI,AIRG,ASNS,MSI,NOK,CSCO,CLFD,INFN,VIAV,SILC,DGII,JNPR,AUDC,HLIT,MOBBW,UTSI,CLRO,LTRX,VISL,SONM,CMTL,AVNW,VSAT,CMBM,SYTA,MYNA"
5,Security & Protection Services,Industrials,126.61,97,68,16,25,"VRME,SPCB,SNT,GEO,BKYI,IVDA,UUU,CXW,NL,GFAI,BRC,ADT,CIX,KSCP,ALLE,MG,MSA,BCO,BAER,NSSC,EVLV,SUGP"
6,Credit Services,Financial Services,123.87,96,98,95,89,"SEZL,LX,FOA,OPFI,SOFI,UPST,QFIN,ATLC,XYF,ENVA,BFH,SYF,DFS,OPRT,PMTS,FINV,AXP,COF,PYPL,SLM,LU,QD,RM,CPSS,OMF,EZPW,V,AIHS,MA,MFIN,NNI,RWAY,ATLCP,SLMBP,ALLY,OMCC,AGM,MCVT,YRD,PT,FCFS,WRLD,PRAA,CACC,GDOT,WU,NAVI,LPRO,SNTG,LMFA"
7,Airlines,Industrials,117.72,95,86,56,11,"UAL,ALGT,ALK,SRFM,ULCC,SKYW,ATSG,AAL,MESA,DAL,SNCY,JBLU,VLRS,LUV,LTM,CPA,RYAAY,FLYX,AZUL"
8,Railroads,Industrials,117.0,95,81,94,29,"RAIL,RVSN,GBX,TRN,WAB,FSTR,NSC,UNP,CSX,CP,CNI"
9,Aerospace & Defense,Industrials,116.52,94,95,65,34,"RKLB,LUNR,RDW,BYRN,PRZO,SATL,ACHR,TATT,PL,CVU,AXON,HWM,KTOS,HOVR,ERJ,ISSC,ESLT,DRS,EVTL,LOAR,MRCY,CW,TGI,CAE,NPK,VSEC,WWD,BWXT,GE,DCO,CODA,RTX,AIR,TDG,EVEX,HEI,SKYH,SPR,HXL,VVX,SIF,CDRE,NOC,EH,AVAV,BA,PKE,LHX,LMT,GD,AIRI,GAUZ,TXT,SVT,ATRO,OPXS,POWW,MNTS,POWWP,KITT,RGR,SIDU,HII,DPRO,SWBI,SPCE,GPUS,KWE,XTIA"
10,Information Technology Services,Technology,116.5,93,85,63,49,"CTM,GMM,INOD,BBAI,VNET,GDS,APLD,KD,GDYN,AUR,DMRC,NYAX,EXLS,IBEX,TASK,WYY,G,FI,HCKT,FORTY,CSPI,IBM,CLPS,PSN,BR,UIS,LDOS,MGIC,CNDT,DTST,ARBB,CTLP,PENG,CACI,INFY,IT,FIS,GLOB,CTSH,NOTE,ACN,EPAM,JKHY,GIB,DXC,VYX,BTCM,III,ASGN,SAIC,WNS,CDW,CNXC,XRX,CLVT,NABL,SAIH,JDZG,JFU,JZ,VEEA,WIT,TTEC"
