Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,551.9,99,99,0,8
2,UAVS,Technology,Computer Hardware,NYSE MKT,543.21,99,2,1,1
3,DOGZ,Consumer Cyclical,Leisure,NASDAQ,528.45,99,99,98,66
4,ASTS,Communication Services,Telecom Services,NASDAQ,517.69,99,99,99,9
5,SMMT,Healthcare,Biotechnology,NASDAQ,475.23,99,99,99,95
6,EVGOW,n/a,n/a,NASDAQ,469.04,99,96,93,5
7,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,459.97,99,99,70,95
8,BBLGW,Healthcare,Medical Devices,NASDAQ,447.49,99,99,99,99
9,INSG,Technology,Communication Equipment,NASDAQ,444.12,99,99,99,22
10,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,407.73,99,99,99,99
11,NEON,Technology,Electronic Components,NASDAQ,404.7,99,99,95,15
12,CAPR,Healthcare,Biotechnology,NASDAQ,389.58,99,20,69,85
13,TIL,Healthcare,Biotechnology,NASDAQ,385.36,99,99,83,43
14,LUMN,Communication Services,Telecom Services,NYSE,376.67,99,99,31,24
15,LBPH,Healthcare,Biotechnology,NASDAQ,353.02,99,99,99,98
16,RAIL,Industrials,Railroads,NASDAQ,345.06,99,99,40,86
17,CLOV,Healthcare,Healthcare Plans,NASDAQ,334.5,99,99,97,11
18,CRVS,Healthcare,Biotechnology,NASDAQ,322.6,99,99,86,43
19,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,318.88,99,98,99,98
20,NTRBW,Healthcare,Biotechnology,NASDAQ,310.74,99,99,99,98
21,WAVE,Utilities,Utilities—Renewable,NASDAQ,299.94,99,98,27,97
22,NOVVU,Financial Services,Shell Companies,NASDAQ,291.34,99,99,51,57
23,COMM,Technology,Communication Equipment,NASDAQ,287.08,99,99,55,2
24,HROW,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,285.48,99,99,97,15
25,WLFC,Industrials,Rental & Leasing Services,NASDAQ,278.2,99,99,95,67
26,DAVE,Technology,Software—Application,NASDAQ,275.27,99,99,99,99
27,CDNA,Healthcare,Diagnostics & Research,NASDAQ,270.23,99,99,98,40
28,RNA,Healthcare,Biotechnology,NASDAQ,269.73,99,99,99,99
29,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,268.77,99,99,98,98
30,NOVV,Financial Services,Shell Companies,NASDAQ,267.44,99,99,46,57
31,CVNA,Consumer Cyclical,Internet Retail,NYSE,264.28,99,98,99,99
32,RCAT,Technology,Computer Hardware,NASDAQ,262.2,99,99,97,91
